currency,scheme,cell_mean,convvae,previous_surface,quadratic_smile,row_mean
BTC,call_wing,0.3564773930254779,0.1594288336127003,0.2037548943039266,1.784988995309373,6.37891529161254
BTC,col_random,0.60359481560248,0.2437636867319995,0.3180180576004451,0.7097681486843843,4.853483183732239
BTC,long_tenor,0.3300762772228149,0.237664162408876,0.1246852762220845,0.3300762772228149,0.3300762772228149
BTC,put_wing,0.8885006821184303,0.6692812407057432,0.4245249307534932,1.6735339787828742,10.58397478583128
BTC,row_random,0.7073774040136687,0.1718085041097335,0.2727658435198777,0.7073774040136687,0.7073774040136687
ETH,call_wing,0.5075105967854725,0.4459948785695262,0.2652285021581852,2.991412347857191,3.790684922060363
ETH,col_random,0.5955888134067451,0.2307379341675297,0.2462670712736331,0.9439426779137512,3.628467006593185
ETH,long_tenor,0.237488050663515,0.1038886655331508,0.1032826071307396,0.237488050663515,0.237488050663515
ETH,put_wing,0.7107674157672287,0.5348379489916546,0.3590152840998863,2.725640099161747,8.46120198722488
ETH,row_random,0.5696125441604902,0.3548888421713309,0.2923451667586662,0.5696125441604902,0.5696125441604902
