currency,horizon_hours,alpha,beta_on_residual,beta_t_stat,corr_residual_future_change,r2,n
BTC,1,-0.027672497326416398,-0.10112461257393805,-2.1224249607074945,-0.05110932613139629,0.00261216321760549,1722
BTC,3,-0.07444841571091132,-0.35688277044773364,-3.228807922539774,-0.0877981940518724,0.00770852287877033,1344
BTC,6,-0.19757649827846885,-0.16831284356264029,-0.8346550856019163,-0.02882070432569622,0.0008306329978291505,840
BTC,12,-0.07992473787437536,-1.1263748160564568,-5.482315816325711,-0.16697191668819636,0.02787962096253005,1050
BTC,24,-0.05837193597730232,0.08599473665877129,0.6345313624909407,0.01610463578924045,0.00025935929390386026,1554
ETH,1,-0.01730094071462819,-0.1883011169753236,-6.857940444782042,-0.1631441788554941,0.02661602309443356,1722
ETH,3,-0.08139358823855333,-0.2840326887581173,-4.557480818487112,-0.1234563596025713,0.015241472726319372,1344
ETH,6,-0.04387625769973694,-0.5204727281781469,-4.976695225518156,-0.16943150082425937,0.028707033471561005,840
ETH,12,-0.11423329940213786,-0.7481579261153132,-5.804892895916895,-0.17649867213301346,0.03115178126471696,1050
ETH,24,-0.07494321698567194,-0.036185842692466955,-0.2960601315459414,-0.0075148757762304695,5.647335793212971e-05,1554
